Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"176968490907",Vintage Collector Plate Grandma's Kitchen c. 1995 by Paula Heirloom Editions ,,,"1","FIXED_PRICE","USD",6.99,,,6.99,"0","","","Mar-30-25 16:58:08 PDT","Oct-30-25 16:58:08 PDT","Collector Plates","261612","","","Used","","","","","","US","","",""
"176968505062",LTD Edition Hawthorne Thomas Kinkade Peaceful Shepherd Nativity Figurine 2006 ,,,"1","FIXED_PRICE","USD",10.0,,,10.0,"0","2","","Mar-30-25 17:06:07 PDT","Oct-30-25 17:06:07 PDT","Nativity Items","77994","","","Used","","","","","","US","","",""
"176995642421","Authentic Disney Sven Reindeer Plush – 16"" Frozen Stuffed Animal – Posable Legs",,,"1","FIXED_PRICE","USD",9.99,,,9.99,"0","","","Apr-09-25 10:56:11 PDT","Nov-09-25 10:56:11 PST","Plush Toys","142","","","Used","","","","","","US","","",""
"176995802679",New With Tags New York & Co Faux Croc Clutch – Purple Wristlet,,,"1","FIXED_PRICE","USD",9.99,,,9.99,"0","","","Apr-09-25 12:25:25 PDT","Nov-09-25 12:25:25 PST","Women's Bags & Handbags","169291","","","New with tags","","","","","","US","","",""
"176997952089",Children of Aberdeen Plates by Kee Fung Ng Collector Set Incl 3 Separate Designs,,,"1","FIXED_PRICE","USD",18.99,,,18.99,"0","","","Apr-10-25 09:36:52 PDT","Nov-10-25 09:36:52 PST","Collector Plates","261612","","","Used","","","","","","US","","",""
"177001403227",Adrianna Papell Rose Gold Shimmer Draped Long Sleeve Blouse – Size Small ,,,"1","FIXED_PRICE","USD",15.0,,,15.0,"0","1","","Apr-11-25 14:30:21 PDT","Nov-11-25 14:30:21 PST","Tops","53159","","","Pre-owned - Excellent","","","","","","US","","",""
"177001422856",Torrid Multicolor Striped Pullover Long Sleeve Sweater – Women’s Plus Size 1X,,3B,"1","FIXED_PRICE","USD",15.0,,,15.0,"0","3","","Apr-11-25 14:41:54 PDT","Nov-11-25 14:41:54 PST","Sweaters","63866","","","Pre-owned - Excellent","","","","","","US","","",""
"177061690067","3-6 Mos Baby Clothes Mixed Lot 16pc Carter's, Disney Baby,  Unicorn Blanket",,2C,"1","FIXED_PRICE","USD",16.99,,,16.99,"0","","","May-02-25 09:41:42 PDT","Nov-02-25 09:41:42 PST","Outfits & Sets","260024","","","Pre-owned - Excellent","","","","","","US","","",""
"177061700655","NB-3 Mo, 0-6mos 15pc Mixed-Gender Lot Incl. Swaddle Me Sleep Sacks, Body Suits",,2B,"1","FIXED_PRICE","USD",15.0,,,15.0,"0","","","May-02-25 09:52:13 PDT","Nov-02-25 09:52:13 PST","Outfits & Sets","260024","","","Pre-owned - Excellent","","","","","","US","","",""
"177075021114","6-9 Months Baby Boy Clothes 10pc Lot Includes Carter's, Baby Essentials",,2F,"1","FIXED_PRICE","USD",10.0,,,10.0,"0","4","","May-07-25 10:14:55 PDT","Nov-07-25 10:14:55 PST","Outfits & Sets","260024","","","Pre-owned - Good","","","","","","US","","",""
"177075421643","6-9 Months Baby Girl Clothes 10PC Lot Incl. Carter's, Disney Baby, Baby Starters",,2G,"1","FIXED_PRICE","USD",11.5,,,11.5,"0","9","","May-07-25 14:12:44 PDT","Nov-07-25 14:12:44 PST","Outfits & Sets","260024","","","Pre-owned - Excellent","","","","","","US","","",""
"177089129735","Disney Minnie Mouse Hooded Button Up Jacket Size 3T, Pink Knit Sweater Sz XS(4)",,2H,"1","FIXED_PRICE","USD",18.0,,,18.0,"0","","","May-12-25 15:12:25 PDT","Nov-12-25 15:12:25 PST","Outerwear","260023","","","Pre-owned - Excellent","","","","","","US","","",""
"177099836838","Harry Potter Reversible Sequin Decor.Pillow Platform 9 3/4, Spectacles Gold Trim",,,"1","FIXED_PRICE","USD",10.0,,,10.0,"0","","","May-16-25 14:54:05 PDT","Nov-16-25 14:54:05 PST","Harry Potter","29798","","","Used","","","","","","US","","",""
